Parameter,Best_Model,Best_R2,Best_MAE,Best_RMSE
lambda1,CatBoost,0.9969022473975592,0.00036684217212392154,0.0005563037068686539
lambda2,CatBoost,0.9959363496929128,0.0007509307838233666,0.0011707612869210188
lambdaR1,CatBoost,0.9931116168374123,0.0002924683381150271,0.0004948578993354779
lambdaR2,CatBoost,0.991412216287304,0.00020215891001296459,0.00035687314498306273
K,CatBoost,0.9988888549251346,70.3794611766853,115.11999893953718
beta1,CatBoost,0.9960654375165214,0.0004846519528398372,0.0006875368874802878
beta2,CatBoost,0.9978925610119492,0.001243054465313164,0.001870209211929193
phi1,CatBoost,0.9974739931896326,0.00160225051866774,0.002378811918599269
phi2,CatBoost,0.998888854998603,0.0005278459580398909,0.000863399963502684
phi3,RandomForest,0.9999987902396287,2.4926735986639514e-05,4.527635407330395e-05
delta_I,RandomForest,0.9996266036279678,0.00037463466752800655,0.0006687708530432349
omega_R1,CatBoost,0.9953405018333404,2.6142920535977033e-05,3.9709774545099196e-05
omega_R2,CatBoost,0.9948577743559245,1.3309165357477574e-05,2.038471935061951e-05
genetic_instability,CatBoost,0.9950199977357945,0.012570860360106817,0.017330854877160216
eta_E,CatBoost,0.997712282151962,0.007422144893113451,0.011155300727836017
eta_C,CatBoost,0.9951970948330662,0.00712523015421632,0.011255404797404436
eta_H,CatBoost,0.9978566195547098,0.0043427299959823504,0.0067099381320404996
eta_I,CatBoost,0.9907717683718945,0.015506323204739507,0.022860166335516085
