Parameter,Model,Train_R2,Test_R2,Train_MAE,Test_MAE,Train_RMSE,Test_RMSE,Overfitting
lambda1,XGBoost,0.9988564450080114,0.987816705385233,0.0002662303399645095,0.0007258427088082926,0.0003452130616573038,0.0011032424441949117,0.011039739622778377
lambda1,LightGBM,0.9991221243935295,0.9896164823265304,0.00022253526338566665,0.0006539956693225706,0.0003024650390704707,0.0010184995507929741,0.00950564206699911
lambda1,CatBoost,0.9987682766130713,0.9969022473975592,0.00026718220726876485,0.00036684217212392154,0.0003582739948650389,0.0005563037068686539,0.001866029215512155
lambda1,RandomForest,0.9918230465765195,0.9583021518139996,0.000627524487447902,0.0012915873653551997,0.0009231121230307208,0.0020410113061158676,0.03352089476251996
lambda1,ExtraTrees,0.9911330053750763,0.9687244289132589,0.0007258873182437875,0.0011312696944323956,0.0009612733784491368,0.0017676293858933996,0.022408576461817376
lambda1,SVR,-6.443195691276931,-6.706374699722155,0.026450085060371366,0.02645876818408628,0.02785084723632882,0.027746847632456793,0.2631790084452241
lambda1,NeuralNet,-1.8771458418576668,-8.359028668062777,0.013788974917204818,0.022367417135435653,0.017315683172804183,0.030577640992418102,6.48188282620511
lambda1,ElasticNet,0.0,-8.094188113094702e-06,0.007619051665375608,0.007480185136770361,0.010208423826681206,0.009995173707786914,8.094188113094702e-06
lambda2,XGBoost,0.9995082527082746,0.9798274970124258,0.0003197991311586165,0.0014527582152502419,0.00041544388509259577,0.002608495449976462,0.019680755695848817
lambda2,LightGBM,0.9971895894722286,0.9852917217348769,0.0005986821617087179,0.001286114704833666,0.0009931761100239265,0.002227363549023141,0.011897867737351686
lambda2,CatBoost,0.9985721793915832,0.9959363496929128,0.0005210334275698243,0.0007509307838233666,0.0007079102581646719,0.0011707612869210188,0.0026358296986703778
lambda2,RandomForest,0.9866796197509012,0.9538470957679952,0.001260345059233797,0.0024028732654630324,0.0021622190726980216,0.003945569581053843,0.03283252398290604
lambda2,ExtraTrees,0.9888578795594548,0.9535522666677685,0.0014463907010581554,0.0024103504608261003,0.0019775401372275053,0.00395815185395133,0.03530561289168632
lambda2,SVR,-17.800666705653516,-18.37753111638794,0.07944149511831691,0.07895480574157182,0.08123216118571536,0.08084616260285066,0.576864410734423
