Parameter_Set,Stability_Status,Max_Real_Part,Stable_Count,Unstable_Count,Trace,Determinant,Condition_Number
1,UNSTABLE,0.012352818448232843,13,2,-33.74407931021535,-1.7759206887983544e-15,26893.433549452217
2,STABLE,-0.00022582928294095269,15,0,-16.879671100163097,-4.016807119527464e-20,4283085.228750991
3,STABLE,-0.0023538033348850618,15,0,-16.087396046776888,-7.832233491957344e-17,164459.21095865485
4,UNSTABLE,0.0013897993928685592,14,1,-13.734398876009967,1.9771940917236585e-15,26060.259210096046
5,STABLE,-0.00312623851525062,15,0,-16.175613030061175,-5.81476525708284e-17,36632.32225639079
6,UNSTABLE,0.0017532514974325233,14,1,-34.75807492509778,1.659856221132318e-19,52232.647078069815
7,UNSTABLE,0.0047708408402570525,14,1,-10.667735604228366,1.8464083148609698e-17,17821.005161282406
8,STABLE,-0.0007209431383049839,15,0,-33.32327153072958,-3.731280611106283e-18,585807.637990737
9,STABLE,-0.0023164295818613287,15,0,-12.608918720637217,-1.0238208219869839e-17,148988.8300781375
10,STABLE,-0.00867712153214753,15,0,-40.39665012922503,-3.855870512335444e-18,26152.89953141793
11,STABLE,-0.00011117884248121471,15,0,-67.88696072839102,-6.551371588908796e-20,1466692.4121760922
12,UNSTABLE,0.016135971754487288,13,2,-46.99651784448832,-5.315622659873636e-16,23737.583944255224
13,UNSTABLE,0.0035284742397649026,13,2,-33.49372759413219,-1.1444161293283854e-19,31626519.78446704
14,UNSTABLE,0.005280543282172047,13,2,-15.020764266996181,-5.43657807410633e-18,153550.94784066183
15,UNSTABLE,0.004010510612279558,13,2,-29.84211877512101,-9.513828942698963e-18,1418388.0031131878
