parameter,ensemble_r2,best_individual_r2,improvement,top_models
lambda1,0.9946580614434556,0.9969022473975592,-0.0022441859541035836,"CatBoost, LightGBM, XGBoost"
lambda2,0.9916006305800682,0.9959363496929128,-0.004335719112844583,"CatBoost, LightGBM, XGBoost"
lambdaR1,0.9887904018529945,0.9931116168374123,-0.004321214984417843,"CatBoost, LightGBM, XGBoost"
lambdaR2,0.9839691727726815,0.991412216287304,-0.007443043514622549,"CatBoost, LightGBM, XGBoost"
K,0.9990493242468258,0.9988888549251346,0.00016046932169122563,"CatBoost, LightGBM, RandomForest"
beta1,0.996244474664984,0.9960654375165214,0.00017903714846256857,"CatBoost, LightGBM, XGBoost"
beta2,0.9981546806831432,0.9978925610119492,0.00026211967119393886,"CatBoost, LightGBM, RandomForest"
phi1,0.9979481118179847,0.9974739931896326,0.00047411862835211593,"CatBoost, LightGBM, ExtraTrees"
phi2,0.9990448471481327,0.998888854998603,0.00015599214952966012,"CatBoost, LightGBM, RandomForest"
phi3,0.9999640761677726,0.9999987902396287,-3.4714071856067896e-05,"RandomForest, ExtraTrees, LightGBM"
delta_I,0.9997964751492482,0.9996266036279678,0.00016987152128034033,"RandomForest, CatBoost, ExtraTrees"
omega_R1,0.9922858002912155,0.9953405018333404,-0.003054701542124949,"CatBoost, LightGBM, ExtraTrees"
omega_R2,0.9915153004748989,0.9948577743559245,-0.0033424738810255983,"CatBoost, LightGBM, ExtraTrees"
genetic_instability,0.9940845288876683,0.9950199977357945,-0.0009354688481262308,"CatBoost, LightGBM, XGBoost"
eta_E,0.9964706731881443,0.997712282151962,-0.001241608963817642,"CatBoost, LightGBM, RandomForest"
eta_C,0.9922991292881002,0.9951970948330662,-0.002897965544966019,"CatBoost, LightGBM, XGBoost"
eta_H,0.9958185486892648,0.9978566195547098,-0.002038070865445052,"CatBoost, LightGBM, XGBoost"
eta_I,0.9925721042816064,0.9907717683718945,0.0018003359097118476,"CatBoost, LightGBM, XGBoost"
